ServerName,Database,Table,Column
MS SQL,RD_ENCRYPT,learning_database,Batch_Table,id
MS SQL,RD_ENCRYPT,learning_database,Batch_Table,roll_no
MS SQL,RD_ENCRYPT,learning_database,Batch_Table,section
MS SQL,RD_ENCRYPT,learning_database,Batch_Table,batch
MS SQL,RD_ENCRYPT,learning_database,Result_Table,id
MS SQL,RD_ENCRYPT,learning_database,Result_Table,total_marks
MS SQL,RD_ENCRYPT,learning_database,Result_Table,obtain_marks
MS SQL,RD_ENCRYPT,learning_database,Result_Table,weightage
MS SQL,RD_ENCRYPT,erp_database,Employee_Table,id
MS SQL,RD_ENCRYPT,erp_database,Employee_Table,employee_name
MS SQL,RD_ENCRYPT,erp_database,Employee_Table,employee_email
MS SQL,RD_ENCRYPT,erp_database,Employee_Table,employee_phone
Oracle,localhost,XE,OBJECT_USAGE,OBJ#
Oracle,localhost,XE,OBJECT_USAGE,FLAGS
Oracle,localhost,XE,OBJECT_USAGE,START_MONITORING
Oracle,localhost,XE,OBJECT_USAGE,END_MONITORING
Oracle,localhost,XE,DUAL,DUMMY
Oracle,localhost,XE,SMON_SCN_TIME,THREAD
Oracle,localhost,XE,SMON_SCN_TIME,TIME_MP
Oracle,localhost,XE,SMON_SCN_TIME,TIME_DP
Oracle,localhost,XE,SMON_SCN_TIME,SCN_WRP
Oracle,localhost,XE,SMON_SCN_TIME,SCN_BAS
Oracle,localhost,XE,SMON_SCN_TIME,NUM_MAPPINGS
Oracle,localhost,XE,SMON_SCN_TIME,TIM_SCN_MAP
Oracle,localhost,XE,SMON_SCN_TIME,SCN
Oracle,localhost,XE,SMON_SCN_TIME,ORIG_THREAD
Oracle,localhost,XE,RESOURCE_MAP,RESOURCE#
Oracle,localhost,XE,RESOURCE_MAP,TYPE#
Oracle,localhost,XE,RESOURCE_MAP,NAME
Oracle,localhost,XE,USER_ASTATUS_MAP,STATUS#
Oracle,localhost,XE,USER_ASTATUS_MAP,STATUS
Oracle,localhost,XE,_default_auditing_options_,A
Oracle,localhost,XE,SYSTEM_PRIVILEGE_MAP,PRIVILEGE
Oracle,localhost,XE,SYSTEM_PRIVILEGE_MAP,NAME
Oracle,localhost,XE,SYSTEM_PRIVILEGE_MAP,PROPERTY
Oracle,localhost,XE,TABLE_PRIVILEGE_MAP,PRIVILEGE
Oracle,localhost,XE,TABLE_PRIVILEGE_MAP,NAME
Oracle,localhost,XE,USER_PRIVILEGE_MAP,PRIVILEGE
Oracle,localhost,XE,USER_PRIVILEGE_MAP,NAME
Oracle,localhost,XE,STMT_AUDIT_OPTION_MAP,OPTION#
Oracle,localhost,XE,STMT_AUDIT_OPTION_MAP,NAME
Oracle,localhost,XE,STMT_AUDIT_OPTION_MAP,PROPERTY
Oracle,localhost,XE,INCEXP,OWNER#
Oracle,localhost,XE,INCEXP,NAME
Oracle,localhost,XE,INCEXP,TYPE#
Oracle,localhost,XE,INCEXP,CTIME
Oracle,localhost,XE,INCEXP,ITIME
Oracle,localhost,XE,INCEXP,EXPID
Oracle,localhost,XE,INCVID,EXPID
Oracle,localhost,XE,INCFIL,EXPID
Oracle,localhost,XE,INCFIL,EXPTYPE
Oracle,localhost,XE,INCFIL,EXPFILE
Oracle,localhost,XE,INCFIL,EXPDATE
Oracle,localhost,XE,INCFIL,EXPUSER
Oracle,localhost,XE,METASTYLESHEET,NAME
Oracle,localhost,XE,METASTYLESHEET,MODEL
Oracle,localhost,XE,METASTYLESHEET,STYLESHEET
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_UID
Oracle,localhost,XE,LOGMNRGGC_GTLO,KEYOBJ#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVLCNT
Oracle,localhost,XE,LOGMNRGGC_GTLO,BASEOBJ#
Oracle,localhost,XE,LOGMNRGGC_GTLO,BASEOBJV#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL1OBJ#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL2OBJ#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL0TYPE#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL1TYPE#
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL2TYPE#
Oracle,localhost,XE,LOGMNRGGC_GTLO,OWNER#
Oracle,localhost,XE,LOGMNRGGC_GTLO,OWNERNAME
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL0NAME
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL1NAME
Oracle,localhost,XE,LOGMNRGGC_GTLO,LVL2NAME
Oracle,localhost,XE,LOGMNRGGC_GTLO,INTCOLS
Oracle,localhost,XE,LOGMNRGGC_GTLO,COLS
Oracle,localhost,XE,LOGMNRGGC_GTLO,KERNELCOLS
Oracle,localhost,XE,LOGMNRGGC_GTLO,TAB_FLAGS
Oracle,localhost,XE,LOGMNRGGC_GTLO,TRIGFLAG
Oracle,localhost,XE,LOGMNRGGC_GTLO,ASSOC#
Oracle,localhost,XE,LOGMNRGGC_GTLO,OBJ_FLAGS
Oracle,localhost,XE,LOGMNRGGC_GTLO,TS#
Oracle,localhost,XE,LOGMNRGGC_GTLO,TSNAME
Oracle,localhost,XE,LOGMNRGGC_GTLO,PROPERTY
Oracle,localhost,XE,LOGMNRGGC_GTLO,START_SCN
Oracle,localhost,XE,LOGMNRGGC_GTLO,DROP_SCN
Oracle,localhost,XE,LOGMNRGGC_GTLO,XIDUSN
Oracle,localhost,XE,LOGMNRGGC_GTLO,XIDSLT
Oracle,localhost,XE,LOGMNRGGC_GTLO,XIDSQN
Oracle,localhost,XE,LOGMNRGGC_GTLO,FLAGS
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE1
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE2
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE3
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE4
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE5
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE6
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE7
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE8
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNR_SPARE9
Oracle,localhost,XE,LOGMNRGGC_GTLO,PARTTYPE
Oracle,localhost,XE,LOGMNRGGC_GTLO,SUBPARTTYPE
Oracle,localhost,XE,LOGMNRGGC_GTLO,UNSUPPORTEDCOLS
Oracle,localhost,XE,LOGMNRGGC_GTLO,COMPLEXTYPECOLS
Oracle,localhost,XE,LOGMNRGGC_GTLO,NTPARENTOBJNUM
Oracle,localhost,XE,LOGMNRGGC_GTLO,NTPARENTOBJVERSION
Oracle,localhost,XE,LOGMNRGGC_GTLO,NTPARENTINTCOLNUM
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNRTLOFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTLO,LOGMNRMCV
Oracle,localhost,XE,LOGMNRGGC_GTLO,ACDRFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTLO,ACDRTSOBJ#
Oracle,localhost,XE,LOGMNRGGC_GTLO,ACDRROWTSINTCOL#
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_UID
Oracle,localhost,XE,LOGMNRGGC_GTCS,OBJ#
Oracle,localhost,XE,LOGMNRGGC_GTCS,OBJV#
Oracle,localhost,XE,LOGMNRGGC_GTCS,SEGCOL#
Oracle,localhost,XE,LOGMNRGGC_GTCS,INTCOL#
Oracle,localhost,XE,LOGMNRGGC_GTCS,COLNAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,TYPE#
Oracle,localhost,XE,LOGMNRGGC_GTCS,LENGTH
Oracle,localhost,XE,LOGMNRGGC_GTCS,PRECISION
Oracle,localhost,XE,LOGMNRGGC_GTCS,SCALE
Oracle,localhost,XE,LOGMNRGGC_GTCS,INTERVAL_LEADING_PRECISION
Oracle,localhost,XE,LOGMNRGGC_GTCS,INTERVAL_TRAILING_PRECISION
Oracle,localhost,XE,LOGMNRGGC_GTCS,PROPERTY
Oracle,localhost,XE,LOGMNRGGC_GTCS,TOID
Oracle,localhost,XE,LOGMNRGGC_GTCS,CHARSETID
Oracle,localhost,XE,LOGMNRGGC_GTCS,CHARSETFORM
Oracle,localhost,XE,LOGMNRGGC_GTCS,TYPENAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,FQCOLNAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,NUMINTCOLS
Oracle,localhost,XE,LOGMNRGGC_GTCS,NUMATTRS
Oracle,localhost,XE,LOGMNRGGC_GTCS,ADTORDER
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE1
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE2
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE3
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE4
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE5
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE6
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE7
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE8
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNR_SPARE9
Oracle,localhost,XE,LOGMNRGGC_GTCS,COL#
Oracle,localhost,XE,LOGMNRGGC_GTCS,XTYPESCHEMANAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,XTYPENAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,XFQCOLNAME
Oracle,localhost,XE,LOGMNRGGC_GTCS,XTOPINTCOL
Oracle,localhost,XE,LOGMNRGGC_GTCS,XREFFEDTABLEOBJN
Oracle,localhost,XE,LOGMNRGGC_GTCS,XREFFEDTABLEOBJV
Oracle,localhost,XE,LOGMNRGGC_GTCS,XCOLTYPEFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTCS,XOPQTYPETYPE
Oracle,localhost,XE,LOGMNRGGC_GTCS,XOPQTYPEFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTCS,XOPQLOBINTCOL
Oracle,localhost,XE,LOGMNRGGC_GTCS,XOPQOBJINTCOL
Oracle,localhost,XE,LOGMNRGGC_GTCS,XXMLINTCOL
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAOWNER#
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAMKEYID
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAENCALG
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAINTALG
Oracle,localhost,XE,LOGMNRGGC_GTCS,EACOLKLC
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAKLCLEN
Oracle,localhost,XE,LOGMNRGGC_GTCS,EAFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTCS,LOGMNRDERIVEDFLAGS
Oracle,localhost,XE,LOGMNRGGC_GTCS,COLLID
Oracle,localhost,XE,LOGMNRGGC_GTCS,COLLINTCOL#
Oracle,localhost,XE,LOGMNRGGC_GTCS,ACDRRESCOL#
Oracle,localhost,XE,LOGMNR_BUILDLOG,INITIAL_XID
Oracle,localhost,XE,LOGMNR_BUILDLOG,BUILD_DATE
Oracle,localhost,XE,LOGMNR_BUILDLOG,DB_TXN_SCNBAS
Oracle,localhost,XE,LOGMNR_BUILDLOG,DB_TXN_SCNWRP
Oracle,localhost,XE,LOGMNR_BUILDLOG,CURRENT_BUILD_STATE
Oracle,localhost,XE,LOGMNR_BUILDLOG,COMPLETION_STATUS
